"Ahde","Matti","Oulu","Suomen Sosialidemokraattinen Puolue","45,600.85"
"Ahonen","Esko","Vaasa","Suomen keskusta","59,812.00"
"Akaan-Penttilä","Eero","Uusimaa","Kansallinen Kokoomus","27,237.00"
"Alanko-Kahiluoto","Outi","Helsinki","Vihreä liitto","23,284.00"
"Alatalo","Mikko","Pirkanmaa","Suomen keskusta","42,800.00"
"Andersson","Claes","Uusimaa","Vasemmistoliitto","17,022.00"
"Andersson","Janina","Varsinais-Suomi","Vihreä liitto","14,828.90"
"Anttila","Sirkka-Liisa","Häme","Suomen keskusta","33,091.58"
"Arhinmäki","Paavo","Helsinki","Vasemmistoliitto","35,665.61"
"Asell","Marko","Pirkanmaa","Suomen Sosialidemokraattinen Puolue","20,090.00"
"Asko-Seljavaara","Sirpa","Helsinki","Kansallinen Kokoomus","29,888.00"
"Autio","Risto","Häme","Suomen keskusta","30,000.00"
"Blomqvist","Thomas","Uusimaa","Ruotsalainen kansanpuolue","40,081.00"
"Brax","Tuija","Helsinki","Vihreä liitto","21,430.08"
"Feldt-Ranta","Maarit","Uusimaa","Suomen Sosialidemokraattinen Puolue","52,554.00"
"Filatov","Tarja","Häme","Suomen Sosialidemokraattinen Puolue","36,382.00"
"Forsius","Merikukka","Uusimaa","Vihreä liitto","12,890.27"
"Gestrin","Christina","Uusimaa","Ruotsalainen kansanpuolue","35,676.32"
"Gustafsson","Jukka","Pirkanmaa","Suomen Sosialidemokraattinen Puolue","23,000.00"
"Guzenina-Richardson","Maria","Uusimaa","Suomen Sosialidemokraattinen Puolue","27,150.00"
"Haapoja","Susanna","Vaasa","Suomen keskusta","80,000.00"
"Haatainen","Tuula","Helsinki","Suomen Sosialidemokraattinen Puolue","20,143.00"
"Haavisto","Pekka","Helsinki","Vihreä liitto","44,426.51"
"Hakola","Juha","Helsinki","Kansallinen Kokoomus","49,146.00"
"Harkimo","Leena","Uusimaa","Kansallinen Kokoomus","42,900.00"
"Hautala","Heidi","Uusimaa","Vihreä liitto","15,861.00"
"Heikkinen","Hannakaisa","Pohjois-Savo","Suomen keskusta","65,010.00"
"Heinonen","Timo","Häme","Kansallinen Kokoomus","57,135.21"
"Heinäluoma","Eero","Helsinki","Suomen Sosialidemokraattinen Puolue","84,720.00"
"Hemmilä","Pertti","Varsinais-Suomi","Kansallinen Kokoomus","29,500.00"
"Hemming","Hanna-Leena","Uusimaa","Kansallinen Kokoomus","35,530.00"
"Henriksson","Anna-Maja","Vaasa","Ruotsalainen kansanpuolue","31,453.27"
"Hiltunen","Rakel","Helsinki","Suomen Sosialidemokraattinen Puolue","16,516.00"
"Holmlund","Anne","Satakunta","Kansallinen Kokoomus","46,720.00"
"Hoskonen","Hannu","Pohjois-Karjala","Suomen keskusta","54,100.00"
"Huovinen","Susanna","Keski-Suomi","Suomen Sosialidemokraattinen Puolue","29,801.35"
"Hurskainen","Sinikka","Kymi","Suomen Sosialidemokraattinen Puolue","20,000.00"
"Hyssälä","Liisa","Varsinais-Suomi","Suomen keskusta","49,011.00"
"Häkämies","Jyri","Kymi","Kansallinen Kokoomus","46,645.30"
"Hänninen","Tuomo","Oulu","Suomen keskusta","42,000.00"
"Jaakonsaari","Liisa","Oulu","Suomen Sosialidemokraattinen Puolue","28,890.00"
"Jaskari","Harri","Pirkanmaa","Kansallinen Kokoomus","60,712.31"
"Järvinen","Heli","Etelä-Savo","Vihreä liitto","22,668.44"
"Kaikkonen","Antti","Uusimaa","Suomen keskusta","41,102.50"
"Kalli","Timo","Satakunta","Suomen keskusta","59,752.00"
"Kallio","Reijo","Satakunta","Suomen Sosialidemokraattinen Puolue","32,110.00"
"Kalliomäki","Antti","Uusimaa","Suomen Sosialidemokraattinen Puolue","24,756.58"
"Kallis","Bjarne","Vaasa","Suomen Kristillisdemokraatit (KD)","24,553.10"
"Kalmari","Anne","Keski-Suomi","Suomen keskusta","36,986.58"
"Kaltiokumpu","Oiva","Satakunta","Suomen keskusta","46,150.00"
"Kanerva","Ilkka","Varsinais-Suomi","Kansallinen Kokoomus","72,123.00"
"Kangas","Matti","Keski-Suomi","Vasemmistoliitto","24,159.96"
"Kankaanniemi","Toimi","Keski-Suomi","Suomen Kristillisdemokraatit (KD)","16,951.53"
"Kantola","Ilkka","Varsinais-Suomi","Suomen Sosialidemokraattinen Puolue","23,800.00"
"Karhu","Saara","Pirkanmaa","Suomen Sosialidemokraattinen Puolue","12,406.86"
"Karhuvaara","Arja","Helsinki","Kansallinen Kokoomus","58,270.00"
"Karimäki","Johanna","Uusimaa","Vihreä liitto","20,411.00"
"Karjula","Kyösti","Oulu","Suomen keskusta","53,428.00"
"Karvo","Ulla","Lappi","Kansallinen Kokoomus","39,567.45"
"Kasvi","Jyrki","Uusimaa","Vihreä liitto","19,867.84"
"Katainen","Elsi","Pohjois-Savo","Suomen keskusta","48,989.00"
"Katainen","Jyrki","Pohjois-Savo","Kansallinen Kokoomus","41,000.00"
"Kataja","Sampsa","Satakunta","Kansallinen Kokoomus","72,200.00"
"Kaunisto","Timo","Varsinais-Suomi","Suomen keskusta","46,861.00"
"Kauppila","Matti","Häme","Vasemmistoliitto","36,124.66"
"Kerola","Inkeri","Oulu","Suomen keskusta","38,356.00"
"Kiljunen","Kimmo","Uusimaa","Suomen Sosialidemokraattinen Puolue","46,500.00"
"Kiljunen","Anneli","Kymi","Suomen Sosialidemokraattinen Puolue","25,714.93"
"Kiuru","Krista","Satakunta","Suomen Sosialidemokraattinen Puolue","24,275.46"
"Kiviniemi","Mari","Helsinki","Suomen keskusta","65,991.00"
"Kiviranta","Esko","Varsinais-Suomi","Suomen keskusta","55,012.33"
"Komi","Katri","Etelä-Savo","Suomen keskusta","25,007.00"
"Korhonen","Timo","Oulu","Suomen keskusta","57,546.00"
"Korhonen","Martti","Oulu","Vasemmistoliitto","39,016.00"
"Korkeaoja","Juha","Satakunta","Suomen keskusta","38,790.00"
"Koski","Valto","Kymi","Suomen Sosialidemokraattinen Puolue","11,577.96"
"Koskinen","Johannes","Häme","Suomen Sosialidemokraattinen Puolue","27,160.00"
"Koskinen","Jari","Häme","Kansallinen Kokoomus","26,674.15"
"Koskinen","Marjaana","Varsinais-Suomi","Suomen Sosialidemokraattinen Puolue","20,000.00"
"Kumpula-Natri","Miapetra","Vaasa","Suomen Sosialidemokraattinen Puolue","34,575.00"
"Kuoppa","Mikko","Pirkanmaa","Vasemmistoliitto","32,147.00"
"Kuusisto","Merja","Uusimaa","Suomen Sosialidemokraattinen Puolue","28,679.69"
"Kyllönen","Merja","Oulu","Vasemmistoliitto","25,079.62"
"Kähkönen","Lauri","Pohjois-Karjala","Suomen Sosialidemokraattinen Puolue","34,680.00"
"Kärkkäinen","Kari","Pohjois-Savo","Suomen Kristillisdemokraatit (KD)","33,788.08"
"Kääriäinen","Seppo","Pohjois-Savo","Suomen keskusta","59,800.00"
"Laakso","Jaakko","Uusimaa","Vasemmistoliitto","30,197.00"
"Lahtela","Esa","Pohjois-Karjala","Suomen Sosialidemokraattinen Puolue","26,580.00"
"Laitinen","Reijo","Keski-Suomi","Suomen Sosialidemokraattinen Puolue","34,360.60"
"Lapintie","Annika","Varsinais-Suomi","Vasemmistoliitto","15,525.00"
"Larikka","Jari","Kymi","Kansallinen Kokoomus","58,580.58"
"Laukkanen","Markku","Kymi","Suomen keskusta","49,849.00"
"Lauslahti","Sanna","Uusimaa","Kansallinen Kokoomus","67,117.10"
"Laxell","Jouko","Varsinais-Suomi","Kansallinen Kokoomus","58,874.00"
"Lehti","Eero","Uusimaa","Kansallinen Kokoomus","119,335.62"
"Lehtomäki","Paula","Oulu","Suomen keskusta","68,834.00"
"Leppä","Jari","Etelä-Savo","Suomen keskusta","26,722.00"
"Lindén","Suvi","Oulu","Kansallinen Kokoomus","52,997.90"
"Lintilä","Mika","Vaasa","Suomen keskusta","60,786.89"
"Lipponen","Päivi","Helsinki","Suomen Sosialidemokraattinen Puolue","32,656.00"
"Manninen","Hannes","Lappi","Suomen keskusta","58,157.52"
"Matikainen-Kallström","Marjo","Uusimaa","Kansallinen Kokoomus","45,000.00"
"Mieto","Juha","Vaasa","Suomen keskusta","44,714.00"
"Mustajärvi","Markus","Lappi","Vasemmistoliitto","27,144.00"
"Mäkelä","Jukka","Uusimaa","Kansallinen Kokoomus","48,557.00"
"Mäkelä","Outi","Uusimaa","Kansallinen Kokoomus","36,690.05"
"Mäkinen","Tapani","Uusimaa","Kansallinen Kokoomus","60,021.00"
"Nauclér","Elisabeth","Ahvenanmaa",,"12,431.36"
"Nepponen","Olli","Etelä-Savo","Kansallinen Kokoomus","39,000.00"
"Niinistö","Sauli","Uusimaa","Kansallinen Kokoomus","117,287.00"
"Niinistö","Ville","Varsinais-Suomi","Vihreä liitto","12,840.44"
"Nordman","Håkan","Vaasa","Ruotsalainen kansanpuolue","37,306.00"
"Nurmi","Tuija","Häme","Kansallinen Kokoomus","47,037.87"
"Nylander","Mikaela","Uusimaa","Ruotsalainen kansanpuolue","42,797.02"
"Nylund","Mats","Vaasa","Ruotsalainen kansanpuolue","35,024.00"
"Oinonen","Lauri","Keski-Suomi","Suomen keskusta","41,500.00"
"Oinonen","Pentti","Pohjois-Savo","Perussuomalaiset","33,716.00"
"Ojala-Niemelä","Johanna","Lappi","Suomen Sosialidemokraattinen Puolue","50,974.51"
"Ojansuu","Kirsi","Häme","Vihreä liitto","21,719.33"
"Ollila","Heikki","Pirkanmaa","Kansallinen Kokoomus","35,800.00"
"Orpo","Petteri","Varsinais-Suomi","Kansallinen Kokoomus","67,397.00"
"Paajanen","Reijo","Kymi","Kansallinen Kokoomus","42,253.00"
"Paasio","Heli","Varsinais-Suomi","Suomen Sosialidemokraattinen Puolue","11,636.87"
"Paatero","Sirpa","Kymi","Suomen Sosialidemokraattinen Puolue","22,150.00"
"Pakkanen","Markku","Kymi","Suomen keskusta","35,124.00"
"Palm","Sari","Kymi","Suomen Kristillisdemokraatit (KD)","12,455.00"
"Paloniemi","Aila","Keski-Suomi","Suomen keskusta","25,000.00"
"Pekkarinen","Mauri","Keski-Suomi","Suomen keskusta","48,771.00"
"Peltonen","Tuula","Keski-Suomi","Suomen Sosialidemokraattinen Puolue","47,394.29"
"Pentti","Klaus","Pirkanmaa","Suomen keskusta","41,624.73"
"Perkiö","Sanna","Helsinki","Kansallinen Kokoomus","52,480.00"
"Pihlajaniemi","Petri","Vaasa","Kansallinen Kokoomus","36,684.13"
"Puhjo","Veijo","Satakunta","Vasemmistoliitto","26,675.35"
"Pulliainen","Erkki","Oulu","Vihreä liitto","32,764.34"
"Puumala","Tuomo","Vaasa","Suomen keskusta","63,990.00"
"Rajala","Lyly","Oulu","Kansallinen Kokoomus","54,258.85"
"Rajamäki","Kari","Pohjois-Savo","Suomen Sosialidemokraattinen Puolue","35,009.51"
"Rantakangas","Antti","Oulu","Suomen keskusta","44,500.00"
"Rauhala","Leena","Pirkanmaa","Suomen Kristillisdemokraatit (KD)","26,100.00"
"Ravi","Pekka","Pohjois-Karjala","Kansallinen Kokoomus","46,950.00"
"Rehula","Juha","Häme","Suomen keskusta","48,248.00"
"Reijonen","Eero","Pohjois-Karjala","Suomen keskusta","54,800.00"
"Risikko","Paula","Vaasa","Kansallinen Kokoomus","41,752.94"
"Rossi","Markku","Pohjois-Savo","Suomen keskusta","47,351.01"
"Ruohonen-Lerner","Pirkko","Uusimaa","Perussuomalaiset","1,834.77"
"Räsänen","Päivi","Häme","Suomen Kristillisdemokraatit (KD)","16,144.00"
"Rönni","Tero","Pirkanmaa","Suomen Sosialidemokraattinen Puolue","38,050.00"
"Saarela","Tanja","Uusimaa","Suomen keskusta","51,773.46"
"Saarinen","Matti","Uusimaa","Suomen Sosialidemokraattinen Puolue","23,200.00"
"Salo","Petri","Vaasa","Kansallinen Kokoomus","63,216.00"
"Salolainen","Pertti","Helsinki","Kansallinen Kokoomus","39,960.00"
"Salovaara","Pertti","Pirkanmaa","Suomen keskusta","34,565.00"
"Sarkomaa","Sari","Helsinki","Kansallinen Kokoomus","28,760.00"
"Sasi","Kimmo","Pirkanmaa","Kansallinen Kokoomus","10,582.55"
"Satonen","Arto","Pirkanmaa","Kansallinen Kokoomus","45,400.00"
"Seurujärvi","Janne","Lappi","Suomen keskusta","71,439.85"
"Sihto","Paula","Vaasa","Suomen keskusta","102,155.00"
"Sinnemäki","Anni","Helsinki","Vihreä liitto","30,780.00"
"Sirnö","Minna","Pirkanmaa","Vasemmistoliitto","30,740.00"
"Skinnari","Jouko","Häme","Suomen Sosialidemokraattinen Puolue","35,000.00"
"Soini","Timo","Uusimaa","Perussuomalaiset","25,353.00"
"Sumuvuori","Johanna","Helsinki","Vihreä liitto","16,358.95"
"Tabermann","Tommy","Uusimaa","Suomen Sosialidemokraattinen Puolue","13,000.00"
"Taimela","Katja","Varsinais-Suomi","Suomen Sosialidemokraattinen Puolue","20,454.00"
"Taiveaho","Satu","Häme","Suomen Sosialidemokraattinen Puolue","26,817.27"
"Tallqvist","Tarja","Uusimaa","Suomen Kristillisdemokraatit (KD)","3,119.00"
"Tennilä","Esko-Juhani","Lappi","Vasemmistoliitto","31,050.00"
"Thors","Astrid","Helsinki","Ruotsalainen kansanpuolue","50,926.00"
"Tiilikainen","Kimmo","Kymi","Suomen keskusta","38,495.00"
"Tiura","Marja","Pirkanmaa","Kansallinen Kokoomus","50,056.00"
"Tiusanen","Pentti","Kymi","Vasemmistoliitto","42,500.00"
"Toivakka","Lenita","Etelä-Savo","Kansallinen Kokoomus","58,147.15"
"Tuomioja","Erkki","Helsinki","Suomen Sosialidemokraattinen Puolue","37,215.00"
"Tynkkynen","Oras","Pirkanmaa","Vihreä liitto","19,360.78"
"Tölli","Tapani","Oulu","Suomen keskusta","49,744.00"
"Ukkola","Tuulikki","Oulu","Kansallinen Kokoomus","36,978.00"
"Urpilainen","Jutta","Vaasa","Suomen Sosialidemokraattinen Puolue","31,844.21"
"Uusipaavalniemi","Markku","Uusimaa","Suomen keskusta","15,000.00"
"Vahasalo","Raija","Uusimaa","Kansallinen Kokoomus","55,767.00"
"Wallin","Stefan","Varsinais-Suomi","Ruotsalainen kansanpuolue","36,817.70"
"Valpas","Unto","Oulu","Vasemmistoliitto","42,482.00"
"Vanhanen","Matti","Uusimaa","Suomen keskusta","45,300.00"
"Vapaavuori","Jan","Helsinki","Kansallinen Kokoomus","54,353.29"
"Vehkaperä","Mirja","Oulu","Suomen keskusta","33,637.00"
"Vehviläinen","Anu","Pohjois-Karjala","Suomen keskusta","79,080.00"
"Wideroos","Ulla-Maj","Vaasa","Ruotsalainen kansanpuolue","33,560.00"
"Viitamies","Pauliina","Etelä-Savo","Suomen Sosialidemokraattinen Puolue","57,300.00"
"Viitanen","Pia","Pirkanmaa","Suomen Sosialidemokraattinen Puolue","27,752.00"
"Viljanen","Ilkka","Häme","Kansallinen Kokoomus","37,452.50"
"Vilkuna","Pekka","Oulu","Suomen keskusta","41,500.00"
"Virkkunen","Henna","Keski-Suomi","Kansallinen Kokoomus","36,200.00"
"Virolainen","Anne-Mari","Varsinais-Suomi","Kansallinen Kokoomus","44,018.00"
"Virtanen","Erkki","Pohjois-Savo","Vasemmistoliitto","28,500.00"
"Virtanen","Pertti","Pirkanmaa","Perussuomalaiset","2,000.00"
"Vistbacka","Raimo","Vaasa","Perussuomalaiset","32,165.00"
"Vuolanne","Antti","Satakunta","Suomen Sosialidemokraattinen Puolue","30,200.00"
"Väyrynen","Paavo","Lappi","Suomen keskusta","24,050.00"
"Väätäinen","Tuula","Pohjois-Savo","Suomen Sosialidemokraattinen Puolue","18,100.00"
"Yrttiaho","Jyrki","Varsinais-Suomi","Vasemmistoliitto","21,000.00"
"Zyskowicz","Ben","Helsinki","Kansallinen Kokoomus","39,691.00"
" Aaltonen"," Risto","Hämeen vaalipiiri","Vasemmistoliitto","16,680.00"
" Aarnio"," Ulriikka","Pirkanmaan vaalipiiri","Vihreä liitto","7,182.07"
" Alanen"," Tuomo","Keski-Suomen vaalipiiri","Vasemmistoliitto","16,253.50"
" Backman"," Jouni","Etelä-Savon vaalipiiri","Suomen Sosialidemokraattinen Puolue","14,892.00"
" Björnberg-Enckell"," Maria","Helsingin vaalipiiri","Ruotsalainen kansanpuolue","56,514.52"
" Eestilä"," Markku","Pohjois-Savon vaalipiiri","Kansallinen Kokoomus","39,942.35"
" Eskanen"," Heli","Satakunnan vaalipiiri","Suomen Sosialidemokraattinen Puolue","35,454.91"
" Haapanen"," Satu","Oulun vaalipiiri","Vihreä liitto","33,293.92"
" Hautala"," Lasse","Vaasan vaalipiiri","Suomen Keskusta","69,780.00"
" Huovinen"," Pentti","Varsinais-Suomen vaalipiiri","Kansallinen Kokoomus","21,490.00"
" Immonen"," Mikko","Varsinais-Suomen vaalipiiri","Vasemmistoliitto","43,000.00"
" Jokinen"," Kalle","Hämeen vaalipiiri","Kansallinen Kokoomus","44,800.00"
" Jussila"," Jorma","Pirkanmaan vaalipiiri","Suomen Kristillisdemokraatit (KD)","3,185.00"
" Juurikkala"," Timo","Uudenmaan vaalipiiri","Vihreä liitto","19,523.64"
" Juutinen"," Timo","Lapin vaalipiiri","Vasemmistoliitto","6,283.56"
" Jääskeläinen"," Pietari","Uudenmaan vaalipiiri","Perussuomalaiset","21,200.00"
" Kalliorinne"," Risto","Oulun vaalipiiri","Vasemmistoliitto","40,883.00"
" Kettunen"," Rauno","Pohjois-Savon vaalipiiri","Suomen Keskusta","24,513.53"
" Kuisma"," Risto","Uudenmaan vaalipiiri","Suomen Sosialidemokraattinen Puolue","35,047.13"
" Kämäräinen"," Matti","Pohjois-Karjalan vaalipiiri","Suomen Keskusta","53,000.00"
" Lahtela"," Seppo","Kymen vaalipiiri","Kansallinen Kokoomus","39,950.00"
" Laukkanen"," Antero","Uudenmaan vaalipiiri","Suomen Kristillisdemokraatit (KD)","14,810.00"
" Lepistö"," Joonas","Pirkanmaan vaalipiiri","Suomen Sosialidemokraattinen Puolue","15,014.40"
" Liinaharja"," Kristiina","Hämeen vaalipiiri","Vihreä liitto","13,527.12"
" Liljeström"," Christel","Uudenmaan vaalipiiri","Ruotsalainen kansanpuolue","23,220.08"
" Mantere"," Leena","Hämeen vaalipiiri","Suomen Kristillisdemokraatit (KD)","19,600.00"
" Moilanen-Savolainen"," Riikka","Oulun vaalipiiri","Suomen Keskusta","46,190.00"
" Mäkipää"," Lea","Pirkanmaan vaalipiiri","Perussuomalaiset","19,600.00"
" Nerg"," Päivi","Pohjois-Savon vaalipiiri","Suomen Kristillisdemokraatit (KD)","11,000.00"
" Nousiainen"," Pekka","Etelä-Savon vaalipiiri","Suomen Keskusta","44,971.00"
" Nummelin"," Aki","Satakunnnan vaalipiiri","Vasemmistoliitto","26,720.00"
" Nygård-Fagerudd"," Wivan","Vaasan vaalipiiri","Ruotsalainen kansanpuolue","14,420.00"
" Olin"," Kalevi","Keski-Suomen vaalipiiri","Suomen Sosialidemokraattinen Puolue","28,000.00"
" Penttilä"," Mika","Hämeen vaalipiiri","Suomen Keskusta","16,524.07"
" Piirainen"," Raimo","Oulun vaalipiiri","Suomen Sosialidemokraattinen Puolue","23,199.74"
" Piironen"," Juha","Pohjois-Karjalan vaalipiiri","Suomen Kristillisdemokraatit (KD)","22,937.00"
" Pirttilahti"," Arto","Pirkanmaan vaalipiiri","Suomen Keskusta","75,865.93"
" Porkka"," Jukka","Kymen vaalipiiri","Vasemmistoliitto","9,600.00"
" Posti"," Pekka","Kymen vaalipiiri","Suomen Sosialidemokraattinen Puolue","36,705.00"
" Puhakka"," Sirpa","Helsingin vaalipiiri","Vasemmistoliitto","42,676.00"
" Puisto"," Virpa","Varsinais-Suomen vaalipiiri","Suomen Sosialidemokraattinen Puolue","28,000.00"
" Rantanen"," Elina","Varsinais-Suomi","Vihreä liitto","2,935.00"
" Rask"," Maija","Lapin vaalipiiri","Suomen Sosialidemokraattinen Puolue","21,900.00"
" Relander"," Jukka","Helsingin vaalipiiri","Vihreä liitto","12,000.00"
" Riikonen"," Teuvo V.","Etelä-Savon vaalipiiri","Suomen Kristillisdemokraatit (KD)","18,429.00"
" Rundgren"," Simo","Lapin vaalipiiri","Suomen Keskusta","52,500.00"
" Saarakkala"," Vesa-Matti","Vaasan vaalipiiri","Perussuomalaiset","10,000.00"
" Salmi"," Kari","Hämeen vaalipiiri","Suomen Sosialidemokraattinen Puolue","32,724.65"
" Salo"," Mauri","Varsinais-Suomen vaalipiiri","Suomen Keskusta","64,000.00"
" Sankelo"," Janne","Vaasan vaalipiiri","Kansallinen Kokoomus","40,530.00"
" Semi"," Matti","Pohjois-Savon vaalipiiri","Vasemmistoliitto","26,600.00"
" Snellman"," Gerhard","Vaasan vaalipiiri","Suomen Kristillisdemokraatit (KD)","58,700.00"
" Sokka"," Irja","Pohjois-Savon vaalipiiri","Suomen Sosialidemokraattinen Puolue","14,000.00"
" Sorri"," Katja","Keski-Suomen vaalipiiri","Suomen Keskusta","25,200.00"
" Särkiniemi"," Seppo","Uudenmaan vaalipiiri","Suomen Keskusta","16,197.76"
" Söderman"," Jacob","Helsingin vaalipiiri","Suomen Sosialidemokraattinen Puolue","47,962.35"
" Tahvanainen"," Säde","Pohjois-Karjalan vaalipiiri","Suomen Sosialidemokraattinen Puolue","26,855.34"
" Telemäki"," Satu","Pirkanmaan vaalipiiri","Kansallinen Kokoomus","34,800.34"
" Torniainen"," Ari","Kymen vaalipiiri","Suomen Keskusta","31,500.00"
" Tuori"," Jukka","Satakunnan vaalipiiri","Kansallinen Kokoomus","18,000.00"
" Turkia"," Juha","Kymen vaalipiiri","Suomen Kristillisdemokraatit (KD)","18,158.06"
" Törmänen"," Timo","Lapin vaalipiiri","Vihreä liitto","26,548.16"
" Uotila"," Kari","Uudenmaan vaalipiiri","Vasemmistoliitto","36,500.00"
" Wallin"," Harry","Vaasan vaalipiiri","Suomen Sosialidemokraattinen Puolue","34,903.00"
" Valtonen"," Olli","Helsingin vaalipiiri","Kansallinen Kokoomus","30,385.44"
" Vanhanen"," Merja","Helsingin vaalipiiri","Suomen Keskusta","9,030.00"
" Veijola"," Mervi","Pirkanmaan vaalipiiri","Vasemmistoliitto","24,470.00"
" Vielma"," Ahti","Keski-Suomen vaalipiiri","Kansallinen Kokoomus","28,000.00"
" Virén"," Lasse","Uudenmaan vaalipiiri","Kansallinen Kokoomus","32,708.72"
" Visakorpi"," Marika","Keski-Suomen vaalipiiri","Suomen Kristillisdemokraatit (KD)","10,185.00"
" Yypänaho"," Jorma","Oulun vaalipiiri","Kansallinen Kokoomus","66,877.00"
"Eriksson"," Roger","Ahvenanmaa",,"10,927.53"
